date,time,name,staff,room,instructor,description
"Saturday, April 12",4:00 PM – 5:30 PM EDT,Adv Beg BALLET with Luis Villar,June Chin (substitute),Room:Studio A,,"Luis' Advanced Beginner BALLET Class (L3) includes a 45 min barre focused on musicality, coordination and strengthening. Followed by a 45 min center work exercises combined with turns, small jumps and big jumps. This class will encourage you to find the artistry behind ballet and also to work on your technique no matter what dance background you are coming from."
"Saturday, April 12",5:30 PM – 7:00 PM EDT,All Levels AFRO'DANCE with Angel Kaba,Shari Piontkowskie (substitute),Room:Studio 4,,"Afro'Dance class is a mixture of the new generation of African influences and street dance. In the class you will work on musicality heavily influenced by the rhythm and musical trends from The Congo, Ivory Coast, Angola... Urban street styles are incorporated into the backdrop of this heavily African based technique. The cultural, social, and free-spirited side of this class creates an environment where students dance, learn, have fun, and feel free."
"Saturday, April 12",5:30 PM – 7:00 PM EDT,Basic TAP with Oren Korenblum,Oren Korenblum,Room:Studio B,Oren Korenblum,"Oren’s tap classes are fun and challenging with exercises that strengthen technique and style and engage your brain. He understands how to break down dynamic combos into teachable sections. Oren starts class by touching on fundamentals of technique and then pushes all his dancers to achieve their next level of success in musical theatre tap! Regardless of your level or past tap experience, Oren will make sure you are challenged. His class is incredibly helpful for musical theatre performers maintaining and improving their tap skills in a safe space."
"Saturday, April 12",5:30 PM – 7:00 PM EDT,Beg BALLET with Erica Ratkovicz,Rose Alice (substitute),Room:Studio A,,2-5 years trainingBasic understanding of discipline and general dance terminology
"Saturday, April 12",5:30 PM – 7:00 PM EDT,Beg STREET JAZZ with Elodie Dufroux,Elodie Dufroux,Room:Studio 3,,"Elodie’s Street Jazz class is thoughtfully crafted to help students refine their focus on musicality, dynamics, and movement quality. The session begins with a dynamic warm-up that integrates a diverse array of street-based styles, including footwork and foundational hip hop techniques. This approach helps students connect deeply with the music, fostering a sense of grounding and rhythm.The choreography is designed to be both accessible and engaging, providing an environment where students can feel challenged and supported as they grow. Whether you’re a recreational dancer seeking to enjoy the art form or a professional aiming to enhance your commercial dance skills, this class offers the perfect blend of fun and development.Join us to elevate your dance journey and musical expression in a nurturing setting."
"Saturday, April 12",5:30 PM – 7:00 PM EDT,Adv Beg REGGAETON with David Machicado,David Machicado,Room:Studio 5,,"David's Reggaeton class focuses on developing body control, musicality, and that essential reggaeton groove to commit to the music. He starts his class with a warm up consisting of stretching and getting muscles loose, together with some basic moves to get familiar with the vibe of reggaeton music. Then he will teach a choreography to explore movement in different textures and grooves. In every class he will want you to find yourself in the music and to express it fluently."
"Saturday, April 12",7:00 PM – 8:30 PM EDT,Adv Beg TAP with Nicole Billow,Nicole Billow,Room:Studio B,,Steps and Combos - Good for people with 3-5 years of tap but open to anyone. Modifications to increase or decrease difficulty will be given.
"Saturday, April 12",7:15 PM – 8:45 PM EDT,Beg JUMPS AND TURNS with Erica Ratkovicz,Stacie Webster (substitute),Room:Studio 3,Stacie Webster,2-5 years trainingBasic understanding of discipline and general dance terminology
"Saturday, April 12",7:15 PM – 8:45 PM EDT,All Levels BALLET VARIATIONS with Eureka Nakano Grimes,Eureka Nakano Grimes,,,"Eurekaʼs ballet class welcomes all ballet lovers. Eurekaʼs class focuses on precise technique, placement and coordination through dancing with intention. All the while, harnessing graceful strength and movement in the mind and body, and fully stretching the self through musicality and artistry. From beginner to pro, she works passionately to support dancers strive for their individual excellence. Sweat and strive with energetic Eureka!"
"Saturday, April 12",7:15 PM – 8:45 PM EDT,Int STREET STYLES with Ness Martinez,Ness Martinez,Room:Studio 5,,8-10 years training
"Saturday, April 12",7:15 PM – 8:45 PM EDT,Beg THEATER with Oren Korenblum,Oren Korenblum,Room:Studio 4,Oren Korenblum,"2-5 years trainingBasic understanding of discipline and general dance terminology In Theatre Jazz class with Oren Korenblum, you’ll work on traditional jazz technique, warm-ups, body strengthening, stamina, rhythm, flexibility, and style.In musical theatre, you must train yourself at every physical level and style while also telling a story.
Over the past two decades, Oren has performed, choreographed, and taught dance all over the world. He has worked with dancers and movers of all levels and ages, creating a safe space for everyone to do their best in the dance environment.
The outcome doesn’t matter. Every class is different because every day in life is different, but showing up for yourself is the greatest success.Judgment and fear are out of the room!Joy and confidence will lead to success, and success means enjoying your time in dance class.
Oren welcomes all artists, at any level of musical theatre, to join him in his class!"
"Saturday, April 12",7:15 PM – 8:45 PM EDT,Int Adv CONTEMP FUSION with Courtney Darlington and Alek Palinski,Courtney Darlington and Alek Palinski,Room:Studio A,,8-10 years of training
"Sunday, April 13",9:00 AM – 10:30 AM EDT,Int LYRICAL with Emily Bufferd,Emily Bufferd,Room:Studio A,Emily Bufferd,"Masks required for this class when Emily is teaching (not required when there is a substitute).8-10 years training
Emily's classes are a community forum for dancers to explore their potential and grow their abilities in a supportive and empowering environment. A technical warm-up designed to stretch, strengthen, and properly align each dancer enables an easy transition to full bodied movement, and improv that encourages individuality and purposeful choice-making will take place. Class will culminate in choreographed phrase-work that emphasizes quality, intellectualism, personal interpretation, self-expression, and visceral artistic development."
"Sunday, April 13",9:15 AM – 10:30 AM EDT,All Levels CHAKRA YOGA with Renata Bonar,Renata Bonar,Room:Studio 4,,"Chakra Yoga is a holistic practice program created by Renata that combines physical postures (asanas), breathwork (pranayama), meditation, and sound to balance and align the seven energy centers (chakras) in the body."
"Sunday, April 13",10:30 AM – 12:00 PM EDT,Adv Beg BROADWAY JAZZ with Sue Samuels,Sue Samuels,Room:Studio A,Sue Samuels,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Sunday, April 13",10:30 AM – 12:00 PM EDT,Beg BALLET with Joy Karley,Joy Karley,Room:Studio 4,Joy Karley,* Masks required for this class2-5 years trainingBasic understanding of discipline and general dance terminology
"Sunday, April 13",10:30 AM – 12:00 PM EDT,Basic TAP with Mike Camire,Mike Camire,Room:Studio B,,1-2 years trainingSome prior knowledge of dance terminology
"Sunday, April 13",10:30 AM – 12:00 PM EDT,Beg CONTEMPORARY with Stacie Webster,Stacie Webster,Room:Studio 1,Stacie Webster,1-2 years trainingSome prior knowledge of dance terminology
"Sunday, April 13",10:30 AM – 12:00 PM EDT,All Levels CARDIO HIP-HOP with LaShawn Jones,LaShawn Jones,Room:Studio 2,,"This Cardio Hip Hop class includes both fun, follow along movement as well as learning choreography while we live our best lives. After a warm up and foundation review, the first half of class will be dedicated to high energy, follow along dances where you let go and get out your head. Each song will have a different set of moves that repeat a few times boosting your heart rate and stamina. The second half of class will be dedicated to turning on your brain and learning a full routine that we’ll repeat several times. All levels are welcome!"
"Sunday, April 13",12:00 PM – 1:30 PM EDT,Int BALLET with Kate Loh,Adriana Pierce (substitute),Room:Studio 4,,8-10 years training
"Sunday, April 13",12:00 PM – 1:30 PM EDT,Beg BROADWAY TAP with Deanna Doyle,Eliah James Furlong (substitute),Room:Studio B,Eliah James Furlong,"This class starts with a quick warm-up, followed by 20-30 minutes of across the floor exercises, where we move through the space working on skills such as pullbacks, turns, and progressions that will prepare the brain and body for the combo. We then work on a combo that emphasizes not only tap dancing skills, but also movement quality—think Fred and Ginger meets Gene Kelly meets 42nd Street. My class is a very warm, welcoming environment, one of encouragement and humor!"
"Sunday, April 13",12:00 PM – 1:30 PM EDT,Int THEATER with Courtney Darlington,Courtney Darlington,Room:Studio 1,,"Courtney’s class offers a space to focus on artistry, intention, technique, musicality, and nuance. Because of her experience in different realms, class is a blend of commercial, theater, and contemporary making it an environment that welcomes dancers from all backgrounds."
"Sunday, April 13",12:15 PM – 1:45 PM EDT,Beg STREET JAZZ with Carlos Neto,Eric Jenkins (substitute),Room:Studio 5,Eric Jenkins,"Carlos' classes are known for their highly energetic, fun, and friendly atmosphere. A mix of street dance style foundations including hip-hop, house dance, and locking with an LA choreography-style influence. The result is musically diverse choreography designed to challenge every dancer of every level through the dynamics of movement and body control.Carlos aims to bring out the best of each dancer in every class by insisting on a performance that showcases personality and individuality. This will not only help the student evolve but also equip any dancer with the tools to face the professional world."
"Sunday, April 13",12:15 PM – 1:45 PM EDT,Basic JAZZ with Heather Rigg,Heather Rigg,Room:Studio A,Heather Rigg,1-2 years trainingSome prior knowledge of dance terminology
"Sunday, April 13",1:45 PM – 3:15 PM EDT,Adv Beg TAP with Doug Shankman,Doug Shankman,Room:Studio B,Doug Shankman,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Sunday, April 13",1:45 PM – 3:15 PM EDT,Beg THEATER with Deanna Doyle,Deanna Doyle,Room:Studio 1,,"2-5 years trainingBasic understanding of discipline and general dance terminology This class is geared towards the dancer who wants to work on coordination, artistry, strength, technique, vocabulary, and style. We start with a 25-minute progressive, low-intensity warmup, which focuses on getting the body warm, realigned, gently stretched, and ready to move. We then go across the floor for 15 minutes, working on technique such as basic pirouettes and battements. Class culminates with a combo ranging in styles—Billy Joel, Thoroughly Modern Millie, Fred and Ginger, Aretha Frankin, Seven Brides for Seven Brothers, MJ, etc. My class is a very warm, welcoming environment, one of encouragement and humor!"
"Sunday, April 13",1:45 PM – 3:15 PM EDT,Adv Beg BALLET with Eureka Nakano Grimes,Eureka Nakano Grimes,Room:Studio 4,,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Sunday, April 13",2:00 PM – 3:30 PM EDT,Beg JAZZ with Heather Rigg,Heather Rigg,Room:Studio A,Heather Rigg,2-5 years trainingBasic understanding of discipline and general dance terminology
"Sunday, April 13",2:00 PM – 3:30 PM EDT,Adv Beg JAZZ FUNK with Chio,Billy Cohen (substitute),Room:Studio 5,,"5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology This is a hot jazz class peppered with street, funk, and Hip-Hop. Students should have a basic understanding of the jazz technique. The warm-up is designed to strengthen the students ability to adopt jazz and funk movement."
"Sunday, April 13",2:00 PM – 3:30 PM EDT,Beg CONTEMPORARY with Elodie Dufroux,Elodie Dufroux,Room:Studio 3,,"Elodie’s contemporary class offers a stimulating and motivating experience for students, set within a welcoming and supportive atmosphere. The class begins with a comprehensive warm-up, incorporating conditioning, stretching, and technical exercises to prepare both body and mind.The choreography merges fundamental technical elements with engaging floorwork, ensuring each participant feels both challenged and captivated. Drawing from Elodie’s versatility within several styles, this class is suitable for both recreational students and those aiming to enhance their skills for the commercial dance world. Emphasizing the importance of technique and musicality in the pursuit of personal growth, this class fosters an environment where learning, movement, and mutual enjoyment are paramount."
"Sunday, April 13",2:00 PM – 3:30 PM EDT,All Levels AFROHOUSE with Meka Oku,Meka Oku,Room:Studio 2,Meka Oku,
"Sunday, April 13",3:30 PM – 5:00 PM EDT,Basic TAP with Sheila Pomroy,Sheila Pomroy,Room:Studio B,,1-2 years trainingSome prior knowledge of dance terminology
"Sunday, April 13",3:30 PM – 5:00 PM EDT,Basic BALLET with Deanna Doyle,Deanna Doyle,Room:Studio 1,,"1-2 years trainingSome prior knowledge of dance terminology This class is geared toward the newer ballet student, the student re-entering ballet class after a hiatus or injury, or anyone wanting to go back to the basics. Focusing on basic technique, turnout, strength, and flexibility, I break down everything in full detail and give advice for different body types. We start with a 45-55 minute barre, followed by center and across the floor work. My class is a very warm, welcoming environment, one of encouragement and humor!"
"Sunday, April 13",3:30 PM – 5:00 PM EDT,Beg JUMPS AND TURNS with Ashley Lynne King,Kristi Tartaglione (substitute),Room:Studio 4,,2-5 years trainingBasic understanding of discipline and general dance terminology
"Sunday, April 13",3:45 PM – 5:15 PM EDT,Basic HIP-HOP with Q,Q,Room:Studio 5,Q,"The class starts with a warm-up that includes isolations and groove exercises that often figure into the video-style choreography. Routines are often worked on for at least two consecutive classes allowing students to clean, perfect and fine tune the movement. Basic experience is helpful but not necessary; however, the desire to learn is crucial!"
"Sunday, April 13",3:45 PM – 5:15 PM EDT,Adv Beg THEATER with Bryan Knowlton,Bryan Knowlton,Room:Studio A,,"Bryan’s class combines the art of storytelling through various styles of musical theatre with tapping into each dancer’s individual expression. Challenging movement in a safe space, dancers are encouraged to seek their fullest potential via a structured class that consists of full body warm up, body conditioning and combination. Class combinations vary from class to class but always focus on the importance of not only the intent of storytelling through dance but, most importantly, having fun!"
"Sunday, April 13",3:45 PM – 5:15 PM EDT,Basic HEELS with Courtney Sauls,Courtney Sauls,Room:Studio 3,Courtney Sauls,1-2 years trainingSome prior knowledge of dance terminology
"Sunday, April 13",3:45 PM – 5:15 PM EDT,Adv Beg CONTEMPORARY with Alex Mitchell,Alex Mitchell,Room:Studio 2,,"Class will begin with a full body warm up that includes cardio, conditioning and open stretch. We will move through improvisational exercises, becoming mindful of ourselves and comfortable with those around us. The majority of class is dedicated to learning choreography with the intention of embodying the essence of the music. Focusing on dynamics, the movement vocabulary is a fusion of phrase-work, elements of street styles and theatrical influences"
"Sunday, April 13",5:15 PM – 6:45 PM EDT,Beg TAP with Sheila Pomroy,Sheila Pomroy,Room:Studio B,,2-5 years trainingBasic understanding of discipline and general dance terminology
"Sunday, April 13",5:15 PM – 6:45 PM EDT,Beg BALLET with Luis Villar,Stefanie Spiece (substitute),Room:Studio 1,,2-5 years trainingBasic understanding of discipline and general dance terminology
"Sunday, April 13",5:30 PM – 7:00 PM EDT,Int CONTEMPORARY with Michaela McGowan,Michaela McGowan,Room:Studio 3,Michaela McGowan,8-10 years training
"Sunday, April 13",7:00 PM – 8:30 PM EDT,Basic BALLET with Luis Villar,Stefanie Spiece (substitute),Room:Studio 1,,"Luis' ballet class includes a 45 min barre focused on musicality, coordination and strengthening. Followed by a 45 min center work exercises combined with turns, small jumps and big jumps. This class will encourage you to find the artistry behind ballet and also to work on your technique no matter what dance background you are coming from."
"Sunday, April 13",7:00 PM – 8:30 PM EDT,Int THEATER with Josh Walden,Josh Walden,Room:Studio 5,,8-10 years of training
"Sunday, April 13",7:00 PM – 8:30 PM EDT,Adv Beg JAZZ with Adam Wedesky,Adam Wedesky,Room:Studio A,,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Sunday, April 13",7:00 PM – 8:30 PM EDT,Beg CONTEMP with FLOORWORK FUNDAMENTALS with Lorena Cobos,Lorena Cobos,Room:Studio 3,Lorena Cobos,2-5 years trainingBasic understanding of discipline and general dance terminology
"Monday, April 14",9:00 AM – 10:30 AM EDT,Adv Beg CONTEMP JAZZ with Ashley Lynne King,Ashley Lynne King,,,"Ashley’s jazz classes encourage students of all ages to challenge their minds, bodies, and musicality. Class will begin with a warmup that focuses on alignment, conditioning, and flexibility before transitioning into upbeat combinations across the floor that utilize technique and foundational jazz footwork. Ashley teaches jazz choreography that emphasizes musicality, strength, style, and technique. All are welcome!"
"Monday, April 14",9:00 AM – 10:30 AM EDT,Basic BALLET with Adriana Pierce,Adriana Pierce,Room:Studio 1,,"Adriana's ballet classes are rooted in Balanchine technique, emphasizing coordination, musicality, and movement quality—all of which benefit dancers of any style. She is committed to fostering an inclusive and respectful studio environment, using non-gendered language and promoting a body-positive approach to athleticism."
"Monday, April 14",9:15 AM – 10:30 AM EDT,All Levels YOGA AND MEDITATION with Lauren Marsaglia,Lauren Marsaglia,Room:Studio 2,,"At its core, the physical practice of yoga exists to exhaust the body and prepare the mind to mediate: to find a place of stillness and clarity in our inner-being. Dancers will enter this spiritual practice and feel how yoga allows for a deeper sense of acceptance and surrendering to our experiences. With practice, this sensation will bleed into how we reimagine our bodies working for us in dance. The traditional style of Vinyasa yoga initiates from the breath into movement, which can be a transformative experience for the dancer as we begin to move from our parasympathetic nervous system. In the physical body, yoga creates a deeper sense of balance, stability, and body awareness. During practice, modifications are always offered to beginning students. Similarly, more challenging variations are given to those with more experience along their journeys. Ultimately, this class surrounds itself with the idea of transformation and how we can carry our practice off of our mats and into the world!"
"Monday, April 14",10:30 AM – 12:00 PM EDT,Adv Beg THEATER with Jason Wise,Jason Wise,Room:Studio A,Jason Wise,"By focusing on presentation and performance, dancers will deepen their understanding of executing a Broadway production number with precision, style, and flair. They will cultivate essential qualities such as musicality, discipline, and showmanship, effectively showcasing their talents and shining in auditions. This unique experience introduces styles and techniques inspired by legendary pioneers of theatrical dance and emphasizes teamwork and collaboration, mirroring the professional rehearsal process, ultimately offering dancers the skills and confidence needed to thrive as a professional dancer in the Musical Theater."
"Monday, April 14",10:30 AM – 12:00 PM EDT,Beg BALLET with Michele Moreno,Michele Moreno,Room:Studio 1,Michele Moreno,"Michele's beginner ballet class is structured for students with basic ballet knowledge and different dance backgrounds. All exercises are combined to improve control, coordination, musicality, and technique. The 90-minute full ballet class includes barre warmup, turns, jumps, and different combinations at the center and across-the-floor."
"Monday, April 14",10:30 AM – 12:00 PM EDT,Beg TAP with Nicole Ohr,Nicole Ohr,Room:Studio B,,2-5 years trainingBasic understanding of discipline and general dance terminology
"Monday, April 14",10:30 AM – 12:00 PM EDT,Beg HIP-HOP with Paolo Penala,Hugo Brument Scuderi (substitute),Room:Studio 2,,"Class begins with a long hip-hop foundational warm up. No matter the level, foundations along with variations will be used to wake up the body, prepare for choreography, and establish building blocks for freestyle. Class will continue by applying the foundations from warm up along with it’s variations to choreography and connection to music. Class is a safe space to grow in movement, vocabulary, and performance quality."
"Monday, April 14",10:30 AM – 12:00 PM EDT,Int CONTEMP FUSION with Maleek Washington,Annie Grove (substitute),Room:Studio 3,,"Maleek's class focuses on reeducating the body to enhance our human aspects, and creating an atmosphere to be versatile in any given situation. Maleek's movement and combinations range from Contact Improvisation to Contemporary Fusion with a Hip-Hop flare. Students will learn how to tell a vivid story with their body. The class includes a range of structured formatted movement, improvisation, floor work and dynamics centered around making strong movement choices. Maleek leads the class into an investigation of each individual's qualities by integrating acting skills to help dive deeper into a sense of self, and to create well-rounded performers and artists"
"Monday, April 14",10:30 AM – 12:00 PM EDT,All Levels VOGUING with Jason A. Rodriguez,Jason A. Rodriguez,,,"New Way Vogue is one of 3 styes of voguing.The style is known for voguers showing off contorted and flexible poseswith precision and grace.New Way is an element of vogue that shows mastery in creating lines,shapes, boxes, and face framing to the beat of the music.Classes begins with an ab conditioning series, a stretch series and thenexercises of movement to help understand the dance form.Though students learn through a structure within class, voguing is improvbased. It was created to be a free form of expression.The structure is there to help students explore the dance form but in theend it is to express both freely and confidently."
"Monday, April 14",11:00 AM – 12:00 PM EDT,All Levels PILATES with Linda Farrell,Linda Farrell,Room:Studio 4,Linda Farrell,"The goal of this class is to stretch and strengthen the entire body with an emphasis on good alignment and developing a strong core base of support. Restores muscle balance, opens tight joints, and ensures structural integration. A must for dancers looking keep their ""dance instrument"" in fine tune; ideal for anyone interested in good posture, long muscles, and proper body alignment!"
"Monday, April 14",12:00 PM – 1:30 PM EDT,Adv Beg CONTEMP LYRICAL with Tracie Stanfield,Tracie Stanfield,Room:Studio 1,Tracie Stanfield,"Dancers will work on flexibility, strength, range and ease of movement, and building/maintaining technique. Working from a strong center, dancers move through the class finding freedom in the use of torso and limbs, a sense of dynamics and initiation of movement, and a balance of breath and control.Born from a foundation in ballet, the warm-up is created to be a combination of traditional stretching, center barre, and full-bodied movement. The class focuses on allowing each dancer to work to their fullest potential, using technique to allow for efficient and effective communication within the choreography. Whether working in lyrical, contemporary, or traditional jazz combinations, dancers are challenged to become magnetic and confident performers.
ELEMENTS: a leaps, turns, floor work class focusing on strength and technique of leaps and turns, while developing ease of transitions and confidence with floor work. ELEMENTS gives dancers an opportunity to move through the elements of dance and to progress from exercises to choreography.
Class begins with a warm-up for core strength, body awareness and flexibility. The class moves across the floor with progressions to build skill and understanding of leaps, turns, and floor work. Dancers will learn a short combination of these elements, putting it all together in a seamless and fluid sequence."
"Monday, April 14",12:00 PM – 1:30 PM EDT,Adv Beg TAP with Jill Kenney,Danielle Jackman (substitute),Room:Studio B,Danielle Jackman,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Monday, April 14",12:00 PM – 1:30 PM EDT,All Levels STRENGTH AND FLEXIBILITY with Kristi Tartaglione,Kristi Tartaglione,Room:Studio 4,,"Class is a blend of strength, stretch, and breathwork to find a deeper mind-body connection to help dancers understand the physical and energetic mechanics of the body. Focusing on stability, weight shifts, mobility, active stretch, and recovery. We’ll work to target the muscles that counteract traditional training to keep dancers healthy and supported, throughout their career. Longevity is the name of the game, and this class offers an approach to dance training that marries artistic expression with anatomical expertise."
"Monday, April 14",12:15 PM – 1:45 PM EDT,Adv Beg BALLET with Natalya Stavro,Natalya Stavro,Room:Studio A,Natalya Stavro,"This class is a fresh and open approach to the study of traditional ballet vocabulary. Emphasis is placed on coordination, placement, flexibility, technique and strength. Musicality is stressed along with a strong sense of performance style. Students in class will move more freely and dance with grace and confidence."
"Monday, April 14",12:15 PM – 1:45 PM EDT,Beg THEATER with Ian Klein,Ian Klein,Room:Studio 2,Ian Klein,2-5 years trainingBasic understanding of discipline and general dance terminology
"Monday, April 14",12:15 PM – 1:45 PM EDT,Int JAZZ with Adam Wedesky,Adam Wedesky,Room:Studio 5,,8-10 years training
"Monday, April 14",12:15 PM – 1:45 PM EDT,Basic GRAHAM TECHNIQUE with Tomislav Nevistic,Tomislav Nevistic,Room:Studio 3,,
"Monday, April 14",1:45 PM – 3:15 PM EDT,Beg JAZZ with Sheila Barker,Sheila Barker,Room:Studio A,Sheila Barker,2-5 years trainingBasic understanding of discipline and general dance terminology
"Monday, April 14",1:45 PM – 3:15 PM EDT,Basic TAP with Brent McBeth,Brent McBeth,Room:Studio B,Brent McBeth,1-2 years trainingSome prior knowledge of dance terminology
"Monday, April 14",1:45 PM – 3:15 PM EDT,Basic BALLET with Erica Ratkovicz,June Chin (substitute),Room:Studio 4,,1-2 years trainingSome prior knowledge of dance terminology
"Monday, April 14",1:45 PM – 3:15 PM EDT,Int THEATER with Tanner Lane,Tanner Lane,Room:Studio 1,,8-10 years training
"Monday, April 14",2:00 PM – 3:30 PM EDT,Basic HIP-HOP with Geheny Rivera,Ness Martinez (substitute),Room:Studio 5,,"Geheny encourages her students to be versatile movers. There is an emphasis on understanding foundation, grooves, and musicality. She pushes her students to the best of their ability and guides them in using these elements to help develop their own personal movement."
"Monday, April 14",2:00 PM – 3:30 PM EDT,Int CONTEMPORARY with Jaclyn Walsh,Jaclyn Walsh,Room:Studio 3,,8-10 years training
"Monday, April 14",2:00 PM – 3:30 PM EDT,All Levels BREAKING with Dr.Ew,Dr. Ew,Room:Studio 2,,
"Monday, April 14",3:30 PM – 5:00 PM EDT,Adv Beg BALLET with Deanna Doyle,Adriana Pierce (substitute),Room:Studio 1,,"5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology This class is geared toward the dancer who wants to continue to hone their technical skills, as well as the working professional dancer in maintenance/recovery mode. Focusing on both technique and artistry, we start with a 35-45 minute barre, move to the center, and leave plenty of time for across the floor. My class is a very warm, welcoming environment, one of encouragement and humor!"
"Monday, April 14",3:30 PM – 5:00 PM EDT,Beg TAP with Kat Ponza,Kat Ponza,Room:Studio B,,"This class is the logical progression from my Basic Tap class, where we continue to learn and develop a tap technique that will span across a variety of styles and genres. The pace of instruction is faster than in Basic Tap, although there’s still plenty of attention given to breaking down steps and choreography, and understanding proper technique, and the ways in which your body helps your sound and can adapt the technique to mesh with each style/genre of music. As students are expected to have familiarity with basic tap technique already, choreography is more developed than in the Basic class. Still suitable for most beginners, this class may run a little quick for those with little tap experience, who may find the Basic class a more comfortable starting point."
"Monday, April 14",3:30 PM – 5:00 PM EDT,Beg CONTEMPORARY with Eric Campros,Julia Kane (substitute),Room:Studio 4,Julia Kane,"Class will begin with a Horton and ballet-based warm-up designed to enhance technique, strength, and alignment. Working across the floor, dancers will learn to more effectively take up space, move with conviction, and instill clarity into their movement. Phrase work will focus on musicality and freedom of movement while maintaining strong technique, all offered in a supportive and positive environment. Eric encourages taking risks, both physical and emotional, to further develop individual style. Dancers will be encouraged to let go of expectations and judgment, allowing their artistry to be their voice."
"Monday, April 14",3:30 PM – 5:00 PM EDT,Int Adv JAZZ with Debbie Roshe,James Gray (substitute),Room:Studio A,,8-10 years training
"Monday, April 14",3:45 PM – 5:15 PM EDT,Int Adv HIP-HOP with David Thomas,David Thomas,Room:Studio 5,David Thomas,"This class helps dancers learn a raw style of Hip-Hop and performance. Combining performance, theatrics, and different movements of Hip-Hop, this class gives dancers the confidence to take their skill to the next level.""Choreography is great but I feel dancers lose what the esscence of dance is, which is expression through movement. If life was a dance, how are you choreographing yours? The goal is not to live forever but to create something that will."""
"Monday, April 14",3:45 PM – 5:15 PM EDT,All Levels TUTTING with Billy Cohen,Billy Cohen,Room:Studio 2,,1-2 years trainingSome prior knowledge of dance terminology
"Monday, April 14",3:45 PM – 5:15 PM EDT,Adv Beg STREET JAZZ with Bo Belza,Bo Belza,Room:Studio 3,,"Choreography based class with movement influenced from Hip Hop and Jazz. A big focus on dynamic, textures, musicality and performance."
"Monday, April 14",5:15 PM – 6:45 PM EDT,Beg BALLET with Dorit Koppel,Dorit Koppel,Room:Studio 1,Dorit Koppel,"This class is designed for the beginner who has the basic knowledge of Ballet and the ability to do a full and simple barre. Class begins at the barre, covering all the fundamental exercises. From the barre the class moves to the center, where the movement phrases are aimed to develop balance and coordination...students experience the JOY of MOVEMENT through space. Class is suited for students who come from diverse and non-dance backgrounds."
"Monday, April 14",5:15 PM – 6:45 PM EDT,Int TAP with Ray Hesselink,Ray Hesselink,Room:Studio B,Ray Hesselink,8+ years training.Class is fast & geared towards professionals.
"Monday, April 14",5:15 PM – 6:45 PM EDT,Int THEATER with Chaz Wolcott,Chaz Wolcott,Room:Studio A,Chaz Wolcott,"Chaz's theater dance class is the best of both worlds. His warm-up is fun and engaging, while working on technical development, strength, and awareness.There are center exercises that address Jazz technique and most importantly assimilation, helping students prepare for the dreaded complicated dance audition. Chaz's combination focuses more on performance and storytelling then technique, with some technical elements mixed in for variety.
Chaz encourages all dancers to feel good about their work in class, no matter their level or ability. Coming out of class feeling improved is the ultimate goal. Focusing on the story or the message the choreography is trying to convey usually proves to be the missing element in booking jobs in the musical theatre industry, so Chaz tries to give students help and encouragement in that regard!"
"Monday, April 14",5:15 PM – 6:45 PM EDT,Adv Beg TURNS AND TECHNIQUE with Ali Koinoglou,Ali Koinoglou,Room:Studio 4,,"With a focus on sharp accents, powerful dynamics & high-energy, Ali's jazz class will surely get your body moving! Starting with a thorough warm-up, Ali's goal is to have dancers feeling stronger & fulfilled with just the warm up alone, as she prides herself on ensuring dancers are fully prepared for the work that is headed their way. Ali's Jazz combinations work through a plethora of foundational elements, high performance quality performance value & fierce execution of the choreography."
"Monday, April 14",5:30 PM – 7:00 PM EDT,Int Adv STREET JAZZ with Kenichi Kasamatsu,Kenichi Kasamatsu,Room:Studio 5,Kenichi Kasamatsu,"Keen on being clean, Kenichi’s class focuses on clarity through movment; musicality, and textures. This street style class will help dancers excel in picking up choreography mostly in an urban choreography environment and, though some intimidation but may be created from the intricacies, the tension is always broken by the good and warm vibes in class."
"Monday, April 14",5:30 PM – 7:00 PM EDT,Adv Beg CONTEMPORARY with Blue,Blue,Room:Studio 3,,
"Monday, April 14",5:30 PM – 7:00 PM EDT,Beg STREET STYLES with J Lyn,J Lyn,Room:Studio 2,,"J Lyn’s Hip Hop class is a blend of grooves, foundations, and high-energy choreography to your favorite old school and new school Hip Hop songs. At the end of the her workshop, you will have an understanding of basic Hip Hop technique and terminology. She’ll teach you how to pick up choreography quicker while adding your personal flavor to every step and help you feel more confident with your freestyle."
"Monday, April 14",7:00 PM – 8:30 PM EDT,Adv Beg THEATER with Elyn Collier,Elyn Collier,Room:Studio 1,Elyn Collier,5-8 years trainingComplete understanding and proficiency in discipline and general dance terminology
"Monday, April 14",7:00 PM – 8:30 PM EDT,Beg MECHANICS OF TAP with Ja'Bowen Dixon,Ja'Bowen Dixon,Room:Studio B,,2-5 years trainingBasic understanding of discipline and general dance terminology
"Monday, April 14",7:00 PM – 8:30 PM EDT,Basic BALLET with Sarah Simon Wolff,Sarah Simon Wolff,Room:Studio 4,,1-2 years trainingSome prior knowledge of dance terminology
